Anger,arguments,Dal_Pleas,1
Anger,arguments,Dal_Activ,2.5714
Anger,arguments,Dal_Imag,1.8
Sadness,art,anewAro,4.86
Sadness,art,Dal_Pleas,2.3333
Sadness,art,anewDom,5.30
Sadness,art,Dal_Activ,1.8333
Sadness,art,anewPleas,6.68
Sadness,art,Dal_Imag,2.8
Joy,art,anewAro,4.86
Joy,art,Dal_Pleas,2.3333
Joy,art,anewDom,5.30
Joy,art,Dal_Activ,1.8333
Joy,art,anewPleas,6.68
Joy,art,Dal_Imag,2.8
Joy,art,anewAro,4.86
Joy,art,Dal_Pleas,2.3333
Joy,art,anewDom,5.30
Joy,art,Dal_Activ,1.8333
Joy,art,anewPleas,6.68
Joy,art,Dal_Imag,2.8
Surprise,art,anewAro,4.86
Surprise,art,Dal_Pleas,2.3333
Surprise,art,anewDom,5.30
Surprise,art,Dal_Activ,1.8333
Surprise,art,anewPleas,6.68
Surprise,art,Dal_Imag,2.8
Anticipation,art,anewAro,4.86
Anticipation,art,Dal_Pleas,2.3333
Anticipation,art,anewDom,5.30
Anticipation,art,Dal_Activ,1.8333
Anticipation,art,anewPleas,6.68
Anticipation,art,Dal_Imag,2.8
Joy,barrier,afinn,-2
Neg,barrier,afinn,-2
Anger,barrier,afinn,-2
Pos,blossom,anewAro,5.03
Pos,blossom,anewDom,5.53
Pos,blossom,anewPleas,7.26
Pos,blossom,anewAro,5.03
Pos,blossom,anewDom,5.53
Pos,blossom,anewPleas,7.26
Joy,blossom,anewAro,5.03
Joy,blossom,anewDom,5.53
Joy,blossom,anewPleas,7.26
Joy,blossom,anewAro,5.03
Joy,blossom,anewDom,5.53
Joy,blossom,anewPleas,7.26
Fear,cautious,Dal_Pleas,1.25
Fear,cautious,afinn,-1
Fear,cautious,Dal_Activ,2
Fear,cautious,Dal_Imag,1.6
Trust,cautious,Dal_Pleas,1.25
Trust,cautious,afinn,-1
Trust,cautious,Dal_Activ,2
Trust,cautious,Dal_Imag,1.6
Anticipation,cautious,Dal_Pleas,1.25
Anticipation,cautious,afinn,-1
Anticipation,cautious,Dal_Activ,2
Anticipation,cautious,Dal_Imag,1.6
Anticipation,cramp,afinn,-1
Pos,cramp,afinn,-1
Neg,cramp,afinn,-1
Neg,cramp,afinn,-1
Neg,cramp,afinn,-1
Joy,crest,Dal_Pleas,1.8333
Joy,crest,Dal_Activ,1.5556
Joy,crest,Dal_Imag,2.4
Neg,degrade,afinn,-2
Neg,degrade,afinn,-2
Neg,degrade,afinn,-2
Disgust-Hate,degrade,afinn,-2
Neg,doubts,Dal_Pleas,1.2727
Neg,doubts,afinn,-1
Neg,doubts,Dal_Activ,1.6364
Neg,doubts,Dal_Imag,1.4
Joy,earl,Dal_Pleas,1.7778
Joy,earl,Dal_Activ,1.5556
Joy,earl,Dal_Imag,1.6
Anger,electrical,Dal_Pleas,2
Anger,electrical,Dal_Activ,2.0769
Anger,electrical,Dal_Imag,2.4
Anticipation,embrace,Dal_Pleas,2.25
Anticipation,embrace,afinn,1
Anticipation,embrace,Dal_Activ,2.4444
Anticipation,embrace,Dal_Imag,2.8
Joy,embrace,Dal_Pleas,2.25
Joy,embrace,afinn,1
Joy,embrace,Dal_Activ,2.4444
Joy,embrace,Dal_Imag,2.8
Joy,embrace,Dal_Pleas,2.25
Joy,embrace,afinn,1
Joy,embrace,Dal_Activ,2.4444
Joy,embrace,Dal_Imag,2.8
Like-Love,embrace,Dal_Pleas,2.25
Like-Love,embrace,afinn,1
