Anger,boot,EmoSN,1
Anger,distribute,EmoSN,1
Anger,misbehave,EmoSN,1
Anger,selfish,EmoSN,1
Anger,perturbing,EmoSN,1
Anger,bomber,EmoSN,1
Anger,hound,EmoSN,1
Anger,blurry,EmoSN,1
Anger,regular,EmoSN,1
Anger,criticize,EmoSN,1
Anger,molest,EmoSN,1
Anger,shin,EmoSN,1
Anger,discomposure,EmoSN,1
Anger,disturbing,EmoSN,1
Anger,turmoil,EmoSN,1
Anger,fearlessness,EmoSN,1
Anger,mob,EmoSN,1
Anger,inimical,EmoSN,1
Anger,mock,EmoSN,1
Anger,fell,EmoSN,1
Anger,odd,EmoSN,1
Anger,council,EmoSN,1
Anger,brat,EmoSN,1
Anger,representative,EmoSN,1
Anger,argument,EmoSN,1
Anger,voltage,EmoSN,1
Anger,fleet,EmoSN,1
Anger,brainstorm,EmoSN,1
Anger,bounty,EmoSN,1
Anger,binoculars,EmoSN,1
Anger,dislike,EmoSN,1
Anger,flurry,EmoSN,1
Anger,fight,EmoSN,1
Anger,sender,EmoSN,1
Anger,conflict,EmoSN,1
Anger,demonstration,EmoSN,1
Anger,steep,EmoSN,1
Anger,uncertain,EmoSN,1
Anger,filth,EmoSN,1
Anger,vicar,EmoSN,1
Anger,sleepwalk,EmoSN,1
Anger,tithe,EmoSN,1
Anger,misplace,EmoSN,1
Anger,crime,EmoSN,1
Anger,villain,EmoSN,1
Anger,bummer,EmoSN,1
Anger,inefficiency,EmoSN,1
Anger,instigate,EmoSN,1
Anger,action,EmoSN,1
Anger,abc,EmoSN,1
Anger,shoot,EmoSN,1
Anger,cowardly,EmoSN,1
Anger,audacious,EmoSN,1
Anger,seizure,EmoSN,1
Anger,equity,EmoSN,1
Anger,destructive,EmoSN,1
Anger,tease,EmoSN,1
Anger,jot,EmoSN,1
Anger,nanotechnology,EmoSN,1
Anger,pillar,EmoSN,1
Anger,agony,EmoSN,1
Anger,inquietude,EmoSN,1
Anger,smartness,EmoSN,1
Anger,admit,EmoSN,1
Anger,offender,EmoSN,1
Anger,caste,EmoSN,1
Anger,fidgetiness,EmoSN,1
Anger,mimic,EmoSN,1
Anger,raze,EmoSN,1
Anger,vocation,EmoSN,1
Anger,thespian,EmoSN,1
Anger,disturbed,EmoSN,1
Anger,cleric,EmoSN,1
Anger,intrepid,EmoSN,1
Anger,riot,EmoSN,1
Anger,pointy,EmoSN,1
Anger,wal,EmoSN,1
Anger,ace,EmoSN,1
Anger,silliness,EmoSN,1
Anger,blend,EmoSN,1
Anger,overwhelm,EmoSN,1
Anger,nasty,EmoSN,1
Anger,household,EmoSN,1
Anger,quietude,EmoSN,1
Anger,provoke,EmoSN,1
Anger,rudeness,EmoSN,1
Anger,ouch,EmoSN,1
Anger,injustice,EmoSN,1
Anger,capitalist,EmoSN,1
Anger,equality,EmoSN,1
Anger,gnat,EmoSN,1
Anger,wasp,EmoSN,1
Anger,slap,EmoSN,1
Anger,slay,EmoSN,1
Anger,twister,EmoSN,1
Anger,puss,EmoSN,1
Anger,hectic,EmoSN,1
Anger,noise,EmoSN,1
Anger,complain,EmoSN,1
Anger,inhale,EmoSN,1
Anger,disquiet,EmoSN,1
Anger,impatiently,EmoSN,1
Anger,argue,EmoSN,1
Anger,racist,EmoSN,1
